EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,EMG_8,thumb_theta_1,thumb_theta_2,thumb_theta_3,index_theta_1,index_theta_2,index_theta_3,middle_theta_1,middle_theta_2,middle_theta_3,ring_theta_1,ring_theta_2,ring_theta_3,little_theta_1,little_theta_2,little_theta_3
0.4992477,0.49572137,0.49154282,0.49969175,0.49084216,0.5081791,0.48876813,0.4799228,0.0,14.0,6.0,18.0,26.0,17.0,5.0,6.0,15.0,10.0,20.0,19.0,6.0,21.0,6.0
0.5009941,0.49206874,0.4924116,0.4957049,0.50660217,0.50036556,0.4885567,0.4926175,58.0,39.0,47.0,24.0,27.0,34.0,68.0,49.0,58.0,66.0,66.0,74.0,70.0,64.0,74.0
0.5032031,0.48367897,0.49350724,0.47835147,0.4859077,0.50829464,0.488733,0.4948136,38.0,22.0,36.0,53.0,49.0,46.0,19.0,26.0,23.0,7.0,2.0,21.0,9.0,13.0,5.0
0.5148739,0.48158103,0.50614214,0.5057344,0.4667322,0.50668573,0.49326023,0.47875637,21.0,24.0,29.0,61.0,56.0,60.0,6.0,5.0,13.0,9.0,12.0,25.0,13.0,16.0,28.0
0.5009941,0.49682572,0.4920936,0.4957049,0.5030628,0.49719876,0.4885567,0.49011144,33.0,44.0,50.0,41.0,52.0,38.0,45.0,70.0,53.0,34.0,65.0,40.0,55.0,54.0,51.0
0.5035054,0.49362022,0.4920936,0.48978934,0.50660217,0.4959251,0.4885567,0.4879873,38.0,50.0,43.0,23.0,22.0,39.0,48.0,46.0,53.0,74.0,64.0,63.0,67.0,77.0,60.0
0.5009941,0.45432988,0.49726337,0.4854629,0.4695103,0.49731076,0.4831572,0.47902465,29.0,19.0,41.0,56.0,50.0,54.0,33.0,54.0,46.0,57.0,75.0,41.0,31.0,66.0,58.0
0.5194324,0.49674454,0.47491503,0.46910137,0.4902484,0.51120293,0.49003938,0.4622591,24.0,28.0,25.0,48.0,56.0,57.0,1.0,26.0,14.0,14.0,2.0,15.0,9.0,25.0,3.0
0.5009941,0.49206874,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,46.0,59.0,87.0,61.0,76.0,68.0,62.0,78.0,65.0,60.0,74.0,68.0,62.0,96.0,67.0
0.4804223,0.4912151,0.4815083,0.51427734,0.49785677,0.5084794,0.47943425,0.5110269,17.0,13.0,37.0,22.0,24.0,11.0,13.0,2.0,17.0,11.0,2.0,2.0,19.0,9.0,8.0
0.50887954,0.4931117,0.4830375,0.49500805,0.4870338,0.50625664,0.47762543,0.47420713,30.0,15.0,20.0,73.0,49.0,54.0,16.0,0.0,24.0,21.0,7.0,12.0,23.0,18.0,15.0
0.49810556,0.5030495,0.47790223,0.49617848,0.512026,0.5093072,0.49012205,0.47963703,18.0,20.0,38.0,39.0,44.0,52.0,56.0,41.0,54.0,51.0,63.0,44.0,54.0,35.0,47.0
0.48655048,0.47628203,0.4686281,0.5200466,0.47392258,0.5039001,0.47787735,0.51339835,2.0,3.0,12.0,5.0,28.0,22.0,1.0,0.0,23.0,16.0,3.0,18.0,7.0,6.0,26.0
0.4878633,0.4749455,0.49981242,0.5054809,0.46432823,0.5154776,0.5026109,0.49919608,25.0,0.0,12.0,5.0,1.0,11.0,18.0,25.0,30.0,18.0,7.0,22.0,10.0,2.0,28.0
0.5009941,0.49206874,0.4924116,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,47.0,40.0,56.0,60.0,78.0,70.0,60.0,82.0,81.0,60.0,76.0,70.0,73.0,72.0,74.0
0.47784483,0.4640756,0.47796172,0.5285008,0.4527466,0.5064922,0.4903654,0.51874197,21.0,27.0,10.0,10.0,30.0,7.0,13.0,26.0,1.0,26.0,29.0,6.0,27.0,8.0,7.0
0.5009941,0.49206874,0.4924116,0.4957049,0.50391555,0.49905556,0.4885567,0.46932754,52.0,32.0,73.0,75.0,66.0,79.0,60.0,85.0,86.0,60.0,61.0,80.0,77.0,67.0,69.0
0.48505783,0.4910769,0.4865806,0.51601464,0.48220268,0.51953787,0.49351215,0.5129986,11.0,18.0,24.0,23.0,4.0,21.0,28.0,17.0,13.0,14.0,3.0,24.0,3.0,2.0,10.0
0.49988592,0.50053775,0.4961251,0.4957049,0.5043736,0.50241697,0.4831572,0.47902465,27.0,18.0,39.0,53.0,56.0,59.0,50.0,62.0,47.0,50.0,73.0,34.0,54.0,73.0,56.0
0.5022854,0.4832673,0.4920936,0.4957049,0.5030628,0.4959251,0.4885567,0.48922634,36.0,60.0,57.0,22.0,51.0,41.0,63.0,48.0,55.0,66.0,66.0,65.0,65.0,62.0,71.0
0.5009941,0.50053775,0.49726337,0.4957049,0.507913,0.49931294,0.4831572,0.4927857,34.0,16.0,31.0,45.0,39.0,37.0,34.0,69.0,36.0,35.0,72.0,56.0,48.0,74.0,39.0
0.48505783,0.4951768,0.48674092,0.50536495,0.46453303,0.50569594,0.49259618,0.46512288,18.0,20.0,39.0,15.0,20.0,12.0,17.0,16.0,0.0,15.0,28.0,18.0,15.0,1.0,14.0
0.5148739,0.48125222,0.5086721,0.49604094,0.51213974,0.5043866,0.49465826,0.4656034,37.0,43.0,45.0,60.0,58.0,48.0,26.0,10.0,6.0,13.0,22.0,27.0,13.0,29.0,17.0
0.5009941,0.49206874,0.4924116,0.4957049,0.50660217,0.4956252,0.4885567,0.4926175,57.0,39.0,33.0,31.0,31.0,42.0,63.0,59.0,51.0,83.0,77.0,74.0,60.0,79.0,72.0
0.49371955,0.50053775,0.48987278,0.4957049,0.50848657,0.5093072,0.4885567,0.49011144,19.0,29.0,40.0,42.0,59.0,57.0,37.0,61.0,30.0,54.0,46.0,39.0,54.0,61.0,53.0
0.5009941,0.49206874,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,58.0,46.0,87.0,72.0,85.0,75.0,61.0,74.0,81.0,60.0,81.0,69.0,64.0,65.0,88.0
0.50095147,0.50053775,0.4961251,0.4937205,0.48068437,0.5093072,0.4831572,0.49118796,23.0,17.0,48.0,45.0,34.0,56.0,34.0,39.0,59.0,35.0,50.0,51.0,33.0,72.0,54.0
0.51287585,0.48273805,0.5015419,0.48124045,0.49241334,0.50711775,0.4990081,0.49508178,43.0,15.0,17.0,60.0,56.0,59.0,7.0,27.0,20.0,23.0,5.0,14.0,24.0,2.0,19.0
0.5009941,0.49682572,0.4920936,0.4957049,0.5062936,0.50250286,0.4885567,0.4926175,39.0,50.0,43.0,25.0,50.0,15.0,52.0,56.0,54.0,76.0,74.0,66.0,67.0,72.0,68.0
0.5009941,0.49807805,0.4924116,0.4957049,0.50880826,0.49731076,0.48567683,0.4941593,42.0,28.0,56.0,44.0,51.0,58.0,46.0,70.0,33.0,51.0,61.0,48.0,36.0,52.0,35.0
0.49810556,0.5030495,0.48987278,0.4957049,0.512026,0.5093072,0.4885567,0.46727544,19.0,31.0,43.0,49.0,31.0,51.0,43.0,47.0,40.0,41.0,38.0,35.0,54.0,34.0,54.0
0.48505783,0.49252766,0.48326945,0.5092473,0.4889805,0.5085461,0.47787735,0.5078906,17.0,22.0,32.0,15.0,22.0,18.0,14.0,8.0,20.0,14.0,30.0,26.0,12.0,5.0,10.0
0.5009941,0.4993375,0.49215406,0.4957049,0.5030628,0.50197,0.4885567,0.46527967,36.0,33.0,52.0,52.0,75.0,34.0,32.0,64.0,56.0,56.0,36.0,47.0,51.0,38.0,50.0
0.48655048,0.47955105,0.4750845,0.51963156,0.5070147,0.51775885,0.4899214,0.49763444,15.0,27.0,1.0,22.0,0.0,25.0,27.0,19.0,22.0,16.0,8.0,20.0,19.0,5.0,29.0
0.5041661,0.47645852,0.49180645,0.50231016,0.47439995,0.51279455,0.47762543,0.46708858,20.0,10.0,22.0,14.0,19.0,28.0,11.0,11.0,26.0,11.0,25.0,26.0,9.0,28.0,21.0
0.49847424,0.4988351,0.49692592,0.5012771,0.5073244,0.5133824,0.48353451,0.5025903,30.0,14.0,5.0,24.0,5.0,5.0,2.0,1.0,10.0,23.0,18.0,4.0,17.0,12.0,18.0
0.5152297,0.5010593,0.46247986,0.46910137,0.4746981,0.5088108,0.4895913,0.46672136,1.0,10.0,25.0,14.0,25.0,19.0,9.0,23.0,16.0,25.0,18.0,16.0,19.0,27.0,14.0
0.4923344,0.49785525,0.48987278,0.5031157,0.5027411,0.5098414,0.4885567,0.49011144,17.0,42.0,37.0,34.0,52.0,34.0,46.0,54.0,35.0,56.0,43.0,48.0,55.0,69.0,32.0
0.49336916,0.484663,0.49053913,0.49482366,0.47429448,0.51454306,0.47762543,0.46672136,12.0,26.0,25.0,6.0,17.0,11.0,9.0,2.0,19.0,26.0,0.0,29.0,27.0,21.0,20.0
0.5009941,0.49206874,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,44.0,48.0,75.0,70.0,92.0,68.0,60.0,76.0,88.0,60.0,70.0,85.0,76.0,70.0,77.0
0.5141192,0.44276315,0.48422354,0.49663758,0.49124154,0.5023821,0.47377157,0.5110269,21.0,0.0,15.0,28.0,29.0,21.0,27.0,1.0,23.0,24.0,22.0,2.0,11.0,19.0,6.0
0.51137507,0.4806015,0.4961431,0.4904599,0.5114418,0.50625664,0.5091707,0.4911691,42.0,20.0,38.0,48.0,50.0,54.0,24.0,2.0,23.0,6.0,14.0,30.0,24.0,30.0,15.0
0.50095147,0.50053775,0.4961251,0.4957049,0.512026,0.5093072,0.4831572,0.49118796,24.0,19.0,52.0,46.0,33.0,48.0,49.0,37.0,58.0,49.0,67.0,34.0,49.0,70.0,47.0
0.5035054,0.4945805,0.4924116,0.4957049,0.5027846,0.5043866,0.4885567,0.48366416,44.0,40.0,34.0,37.0,34.0,51.0,59.0,46.0,31.0,44.0,65.0,52.0,34.0,30.0,50.0
0.5081157,0.46777728,0.46131313,0.49225026,0.47495288,0.51368815,0.48353451,0.52039814,8.0,8.0,16.0,11.0,2.0,6.0,28.0,18.0,20.0,13.0,20.0,4.0,29.0,21.0,11.0
0.50220084,0.4974448,0.4650066,0.4928737,0.47238478,0.5104805,0.4895913,0.47128734,2.0,13.0,19.0,3.0,25.0,10.0,27.0,28.0,26.0,5.0,10.0,15.0,29.0,17.0,14.0
0.4975257,0.50036705,0.48987278,0.4957049,0.5062805,0.5098414,0.4885567,0.47654942,20.0,40.0,54.0,48.0,37.0,52.0,59.0,55.0,53.0,51.0,46.0,32.0,55.0,40.0,33.0
0.5022854,0.50156724,0.49726337,0.4957049,0.507913,0.49769258,0.48216283,0.48918036,39.0,23.0,53.0,47.0,44.0,51.0,37.0,48.0,32.0,34.0,53.0,60.0,48.0,56.0,33.0
0.5035054,0.50053775,0.4924116,0.4957049,0.50880826,0.4956252,0.4885567,0.48922634,34.0,31.0,59.0,34.0,60.0,58.0,43.0,35.0,37.0,55.0,72.0,41.0,58.0,52.0,49.0
0.50240207,0.47759736,0.49726334,0.5045788,0.4663601,0.5162806,0.49363196,0.48269463,8.0,30.0,28.0,8.0,5.0,26.0,8.0,2.0,11.0,19.0,18.0,12.0,3.0,16.0,23.0
0.50095147,0.49682572,0.48987278,0.4957049,0.5062805,0.5093072,0.4885567,0.4740666,23.0,34.0,44.0,48.0,32.0,47.0,58.0,37.0,32.0,56.0,31.0,59.0,45.0,48.0,53.0
0.5009941,0.49206874,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,53.0,44.0,60.0,63.0,92.0,76.0,69.0,71.0,74.0,60.0,75.0,75.0,60.0,89.0,71.0
0.52925426,0.49079314,0.48536184,0.48092487,0.48157153,0.51279455,0.48066527,0.47168562,20.0,14.0,29.0,2.0,8.0,3.0,9.0,25.0,2.0,0.0,17.0,12.0,17.0,14.0,18.0
0.5040128,0.49981913,0.45707357,0.49855292,0.49795282,0.50641346,0.48302108,0.4698973,15.0,29.0,21.0,6.0,4.0,4.0,3.0,13.0,24.0,22.0,17.0,27.0,30.0,20.0,2.0
0.48655048,0.48248735,0.5038929,0.49840027,0.47454238,0.5102126,0.49259618,0.46671104,20.0,28.0,45.0,28.0,5.0,23.0,4.0,11.0,1.0,16.0,3.0,23.0,17.0,2.0,27.0
0.51919097,0.44681254,0.4813255,0.4653357,0.4547926,0.5104771,0.47529754,0.52246815,20.0,19.0,44.0,1.0,26.0,29.0,8.0,29.0,12.0,4.0,11.0,9.0,27.0,17.0,10.0
0.5009941,0.47806278,0.49726337,0.4957049,0.5043736,0.49905556,0.48216283,0.4824893,44.0,23.0,34.0,58.0,51.0,56.0,30.0,66.0,33.0,42.0,39.0,42.0,55.0,63.0,34.0
0.5009941,0.49206874,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,55.0,50.0,69.0,74.0,84.0,80.0,69.0,77.0,77.0,60.0,66.0,80.0,78.0,81.0,86.0
0.5141192,0.44406164,0.47274166,0.4928737,0.45493466,0.509831,0.47663432,0.51972115,2.0,11.0,15.0,16.0,25.0,23.0,15.0,21.0,26.0,7.0,6.0,10.0,13.0,21.0,9.0
0.5009941,0.47453833,0.4924116,0.4854629,0.47394502,0.5043866,0.4885567,0.48897782,42.0,29.0,30.0,54.0,52.0,55.0,57.0,65.0,36.0,38.0,33.0,32.0,31.0,31.0,39.0
0.5148739,0.479582,0.49642208,0.50035274,0.46727923,0.5083205,0.52023673,0.4896359,40.0,23.0,42.0,56.0,49.0,47.0,17.0,1.0,13.0,24.0,15.0,21.0,2.0,23.0,22.0
0.5194324,0.4343845,0.47069576,0.49326596,0.49044266,0.5164527,0.47377157,0.5123619,1.0,28.0,40.0,8.0,4.0,22.0,9.0,6.0,19.0,16.0,9.0,10.0,21.0,16.0,5.0
0.5009941,0.49682572,0.4924116,0.4957049,0.5030628,0.4956252,0.4885567,0.4926175,39.0,40.0,58.0,34.0,56.0,43.0,54.0,51.0,52.0,68.0,69.0,68.0,70.0,71.0,70.0
0.49810556,0.49682572,0.48987278,0.4957049,0.5027411,0.5093072,0.4885567,0.4823405,19.0,36.0,52.0,47.0,57.0,45.0,46.0,37.0,41.0,51.0,65.0,47.0,58.0,63.0,40.0
0.50180006,0.49359298,0.4513942,0.4970836,0.4915198,0.51143634,0.47762543,0.4819549,15.0,12.0,23.0,25.0,14.0,15.0,10.0,15.0,25.0,22.0,1.0,19.0,21.0,16.0,18.0
0.4975257,0.5030495,0.478769,0.4957049,0.512026,0.5093072,0.49012205,0.4972781,20.0,17.0,37.0,36.0,31.0,57.0,48.0,53.0,53.0,37.0,55.0,33.0,37.0,39.0,42.0
0.5024589,0.49790385,0.49521196,0.50063634,0.51663214,0.5067829,0.48678172,0.48412156,17.0,8.0,1.0,24.0,1.0,0.0,16.0,2.0,16.0,4.0,8.0,19.0,24.0,17.0,12.0
0.5041698,0.44138822,0.49350724,0.47835147,0.4601635,0.49860153,0.47378948,0.5128447,34.0,16.0,55.0,55.0,54.0,47.0,26.0,30.0,21.0,10.0,29.0,6.0,8.0,13.0,4.0
0.5009941,0.494366,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,40.0,45.0,82.0,61.0,62.0,81.0,60.0,63.0,75.0,60.0,89.0,70.0,71.0,71.0,82.0
0.51919097,0.49841136,0.49093175,0.49970403,0.50610745,0.50759083,0.49259618,0.47206005,14.0,27.0,44.0,18.0,6.0,10.0,11.0,4.0,8.0,0.0,20.0,23.0,26.0,16.0,0.0
0.5009941,0.4665532,0.4794664,0.4957049,0.4823811,0.5028027,0.4726642,0.4926175,46.0,53.0,42.0,18.0,26.0,20.0,51.0,55.0,55.0,89.0,70.0,67.0,66.0,63.0,72.0
0.5009941,0.49206874,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,44.0,53.0,49.0,66.0,77.0,71.0,64.0,82.0,73.0,60.0,87.0,76.0,78.0,99.0,69.0
0.5009941,0.49682572,0.4924116,0.4957049,0.5030628,0.49905556,0.4885567,0.46527967,33.0,38.0,58.0,61.0,97.0,67.0,68.0,73.0,74.0,60.0,75.0,82.0,67.0,75.0,72.0
0.52878195,0.4879142,0.47527015,0.46155885,0.4681165,0.50813544,0.4895913,0.46455878,16.0,30.0,35.0,60.0,59.0,46.0,2.0,26.0,1.0,4.0,20.0,15.0,20.0,12.0,8.0
0.5191697,0.4805479,0.4928236,0.47676662,0.48396125,0.5002925,0.48682076,0.5099906,36.0,16.0,41.0,66.0,47.0,54.0,26.0,18.0,7.0,9.0,12.0,11.0,17.0,24.0,8.0
0.48505783,0.48123842,0.48024407,0.5285731,0.48220268,0.5143034,0.4895913,0.51765776,9.0,20.0,24.0,19.0,0.0,19.0,28.0,30.0,18.0,9.0,22.0,29.0,11.0,8.0,8.0
0.4772546,0.48125952,0.47105262,0.4902801,0.4631057,0.5057934,0.49295324,0.51766956,19.0,34.0,16.0,73.0,52.0,58.0,19.0,22.0,12.0,12.0,26.0,12.0,0.0,9.0,2.0
0.49906808,0.50091094,0.48458305,0.4918647,0.4980063,0.5002925,0.47762543,0.48225898,30.0,0.0,1.0,24.0,20.0,13.0,14.0,10.0,27.0,28.0,9.0,17.0,5.0,20.0,6.0
0.4919485,0.4865117,0.4972493,0.49022353,0.49147114,0.5073915,0.5091707,0.49908552,42.0,28.0,19.0,56.0,57.0,59.0,27.0,1.0,3.0,11.0,8.0,14.0,23.0,12.0,22.0
0.50239724,0.4993375,0.48987278,0.4957049,0.5043403,0.5098414,0.4885567,0.47161192,25.0,38.0,47.0,42.0,67.0,37.0,56.0,42.0,51.0,54.0,33.0,54.0,51.0,32.0,58.0
0.5009941,0.49682572,0.4924116,0.4957049,0.5030628,0.49905556,0.4885567,0.46527967,31.0,33.0,61.0,61.0,97.0,83.0,65.0,60.0,80.0,60.0,98.0,80.0,77.0,67.0,75.0
0.5009941,0.48155203,0.49726337,0.4957049,0.507913,0.49741155,0.4831572,0.50349206,44.0,19.0,50.0,32.0,35.0,38.0,52.0,59.0,57.0,46.0,65.0,42.0,49.0,58.0,33.0
0.4975257,0.50053775,0.4961251,0.4957049,0.512026,0.5093072,0.48216283,0.49887583,22.0,18.0,54.0,32.0,42.0,53.0,59.0,55.0,32.0,56.0,72.0,31.0,53.0,67.0,43.0
0.51758283,0.4831986,0.49159738,0.48490784,0.47963506,0.49860153,0.5083837,0.49995732,40.0,27.0,33.0,50.0,47.0,47.0,3.0,16.0,16.0,29.0,26.0,23.0,3.0,15.0,13.0
0.5009941,0.49206874,0.4924116,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,51.0,35.0,50.0,66.0,88.0,67.0,62.0,98.0,69.0,60.0,61.0,61.0,70.0,71.0,63.0
0.5035054,0.494366,0.4920936,0.4957049,0.5030628,0.4956252,0.4885567,0.4917324,40.0,52.0,38.0,39.0,52.0,48.0,65.0,46.0,51.0,73.0,63.0,69.0,66.0,63.0,63.0
0.4991239,0.50053775,0.4961251,0.4957049,0.50848657,0.5093072,0.49012205,0.49335405,23.0,18.0,52.0,46.0,65.0,42.0,57.0,48.0,41.0,56.0,62.0,57.0,40.0,46.0,35.0
0.4978833,0.49978507,0.4672892,0.5021097,0.48549116,0.501375,0.49016842,0.490105,20.0,25.0,5.0,28.0,2.0,3.0,21.0,21.0,4.0,17.0,28.0,25.0,14.0,12.0,9.0
0.5035054,0.494366,0.4924116,0.4957049,0.5030628,0.4956252,0.4885567,0.4917324,40.0,38.0,50.0,38.0,75.0,57.0,44.0,36.0,51.0,49.0,71.0,43.0,59.0,64.0,35.0
0.5009941,0.50053775,0.4924116,0.4957049,0.50880826,0.49905556,0.4885567,0.46527967,36.0,31.0,57.0,74.0,78.0,75.0,64.0,81.0,74.0,60.0,83.0,63.0,65.0,89.0,78.0
0.51892823,0.4832699,0.49407282,0.47835147,0.47963506,0.49946317,0.48828492,0.48930788,44.0,33.0,38.0,50.0,57.0,46.0,18.0,25.0,20.0,12.0,25.0,23.0,26.0,18.0,7.0
0.5035054,0.4665532,0.4920936,0.49226847,0.48617375,0.4959251,0.4885567,0.4917324,45.0,51.0,52.0,20.0,23.0,48.0,59.0,47.0,54.0,78.0,71.0,68.0,62.0,78.0,65.0
0.5009941,0.47806278,0.4924116,0.4957049,0.50880826,0.49905556,0.4885567,0.46932754,53.0,31.0,62.0,71.0,67.0,78.0,70.0,89.0,62.0,60.0,76.0,69.0,66.0,75.0,65.0
0.5009941,0.49206874,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,57.0,44.0,46.0,65.0,93.0,71.0,67.0,85.0,88.0,60.0,73.0,80.0,61.0,61.0,77.0
0.50216776,0.495356,0.4844121,0.4787609,0.46209505,0.5011541,0.5104621,0.5182463,44.0,19.0,56.0,73.0,51.0,50.0,0.0,17.0,25.0,29.0,5.0,5.0,22.0,10.0,7.0
0.5009941,0.49206874,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,58.0,52.0,80.0,65.0,80.0,78.0,69.0,76.0,82.0,60.0,76.0,85.0,74.0,86.0,69.0
0.51758677,0.4987591,0.49609056,0.49326596,0.5130026,0.50837773,0.49620643,0.46212378,24.0,26.0,20.0,22.0,21.0,29.0,11.0,0.0,6.0,1.0,7.0,14.0,24.0,29.0,12.0
0.48792195,0.47886768,0.4931971,0.49451438,0.45913973,0.5050475,0.47639948,0.49817726,18.0,35.0,52.0,55.0,46.0,52.0,5.0,9.0,27.0,2.0,21.0,15.0,27.0,2.0,28.0
0.4772546,0.495356,0.4824857,0.50800765,0.45397487,0.5086219,0.47812697,0.51972115,17.0,37.0,20.0,56.0,56.0,47.0,1.0,16.0,22.0,3.0,24.0,6.0,5.0,3.0,15.0
0.5194324,0.49344975,0.47640106,0.47900257,0.48681042,0.50496167,0.4895913,0.46645787,20.0,26.0,40.0,68.0,50.0,54.0,12.0,19.0,21.0,8.0,23.0,27.0,15.0,17.0,8.0
0.5191697,0.47992492,0.48422354,0.5005891,0.49211204,0.49860153,0.5040711,0.48623288,39.0,42.0,49.0,51.0,51.0,58.0,12.0,0.0,27.0,28.0,26.0,13.0,7.0,20.0,8.0
0.5000855,0.46355104,0.46247986,0.49970528,0.49494228,0.5113046,0.47671312,0.5126926,7.0,22.0,8.0,25.0,12.0,15.0,12.0,29.0,19.0,19.0,4.0,2.0,12.0,19.0,21.0
0.49810556,0.5030495,0.47790223,0.5031157,0.50848657,0.5093072,0.49012205,0.46944153,16.0,18.0,47.0,54.0,63.0,51.0,52.0,42.0,59.0,32.0,59.0,44.0,39.0,36.0,55.0
0.5291927,0.48538804,0.4753858,0.46155885,0.48041847,0.50691223,0.4885567,0.45202535,20.0,37.0,47.0,72.0,59.0,52.0,18.0,24.0,1.0,30.0,25.0,23.0,16.0,13.0,19.0
0.48505783,0.48043463,0.48131907,0.5126716,0.48911446,0.5086408,0.47639948,0.5200733,15.0,41.0,59.0,46.0,51.0,58.0,2.0,10.0,30.0,12.0,1.0,17.0,12.0,4.0,3.0
0.5035054,0.4993375,0.4920936,0.4957049,0.5030628,0.49997988,0.4885567,0.48039073,33.0,42.0,60.0,32.0,56.0,44.0,58.0,31.0,39.0,50.0,32.0,39.0,52.0,36.0,47.0
0.48655048,0.4833539,0.48503372,0.5200568,0.5067171,0.5095457,0.49363196,0.49784282,11.0,14.0,0.0,18.0,16.0,9.0,5.0,9.0,11.0,15.0,19.0,22.0,19.0,5.0,26.0
0.5009941,0.49682572,0.4920936,0.4957049,0.50660217,0.4956252,0.4885567,0.49011144,32.0,57.0,32.0,31.0,49.0,54.0,46.0,54.0,54.0,87.0,69.0,62.0,61.0,70.0,74.0
0.5012598,0.48065227,0.46801764,0.49047923,0.46948993,0.5070566,0.48348922,0.51004124,2.0,4.0,32.0,27.0,17.0,3.0,24.0,17.0,16.0,17.0,21.0,13.0,8.0,14.0,23.0
